年月,縣市,銷售單價(萬/坪),流動天期(天),流動量(棟)
202212,台中市,31,7,1
202302,台中市,41.9,63,5
202304,台中市,33.1,13,4
202308,台中市,36,85,22147
202309,台中市,36.4,80,22779
202310,台中市,36.9,89,18797
202311,台中市,37.4,88,19463
202312,台中市,37.6,90,18614
202401,台中市,38,90,17179
202402,台中市,39,82,18130
202403,台中市,39.6,80,18608
202404,台中市,40.2,80,18180
202405,台中市,40.5,81,18688
202406,台中市,41,75,19536
202407,台中市,41.6,75,18342
202408,台中市,41.9,79,17928
202409,台中市,42.3,89,20123
202410,台中市,42.8,73,26522
202411,台中市,42,67,21061
202412,台中市,42.2,74,20396
202501,台中市,42,83,18683
202502,台中市,41.6,89,22654
202503,台中市,41.4,87,21481
202504,台中市,41.3,76,24079
202505,台中市,41,82,21647
202506,台中市,40.9,83,21256
202507,台中市,40.7,88,21606
202508,台中市,40.4,92,19284
202509,台中市,40.3,93,18662
202510,台中市,40.2,96,19829
202511,台中市,40.2,100,18852
202512,台中市,40,100,18815
202601,台中市,39.9,98,18063
202212,台北市,89.5,85,9282
202301,台北市,89.9,79,9430
202302,台北市,89.5,108,4781
202303,台北市,89.7,105,6087
202304,台北市,89.9,101,5685
202305,台北市,90.2,100,5584
202306,台北市,90.7,101,5822
202307,台北市,91.8,101,4402
202308,台北市,90.8,94,7386
202309,台北市,91.5,91,7266
202310,台北市,92.2,97,6013
202311,台北市,92.6,96,6362
202312,台北市,92.8,100,6018
202401,台北市,93,99,5847
202402,台北市,94,95,5639
202403,台北市,94.4,92,5735
202404,台北市,95.8,88,5633
202405,台北市,96.8,87,5794
202406,台北市,97.8,80,6334
202407,台北市,99,75,6006
202408,台北市,99.4,83,5776
202409,台北市,100.5,87,6475
202410,台北市,100.2,77,7729
202411,台北市,101.1,79,6749
202412,台北市,100.9,86,6406
202501,台北市,101.1,88,6490
202502,台北市,100.6,96,5672
202503,台北市,101,96,6802
202504,台北市,101.7,87,7263
202505,台北市,101.6,90,6668
202506,台北市,101.8,88,6423
202507,台北市,101.8,90,6863
202508,台北市,101.1,93,6398
202509,台北市,101.3,92,6417
202510,台北市,100.5,95,6701
202511,台北市,99.9,99,6361
202512,台北市,99.6,100,6331
202601,台北市,100,100,5872
202302,台南市,22.9,31,1
202304,台南市,41.4,24,2
202305,台南市,41.6,28,1
202308,台南市,28.9,90,4962
202309,台南市,29.4,86,5013
202310,台南市,29.5,95,4282
202311,台南市,29.5,94,4577
202312,台南市,29.8,96,4289
202401,台南市,30,92,3973
202402,台南市,30.4,87,3986
202403,台南市,30.9,85,3896
202404,台南市,31.1,85,4074
202405,台南市,31.5,86,4251
202406,台南市,31.7,84,4062
202407,台南市,32.2,74,4184
202408,台南市,32.2,84,3693
202409,台南市,32.4,93,4426
202410,台南市,32.5,76,6118
202411,台南市,32.5,78,4985
202412,台南市,32.5,82,5016
202501,台南市,32.7,85,4765
202502,台南市,32.6,92,5452
202503,台南市,32.6,89,6093
202504,台南市,32.3,84,6079
202505,台南市,32.1,89,5578
202506,台南市,32.1,92,5540
202507,台南市,32,95,5737
202508,台南市,31.9,98,5283
202509,台南市,31.9,96,5336
202510,台南市,31.8,99,5553
202511,台南市,31.7,104,5125
202512,台南市,31.7,106,5047
202601,台南市,31.5,103,4804
202302,桃園市,33.6,90,5
202308,桃園市,32.3,84,11425
202309,桃園市,32.5,80,11415
202310,桃園市,32.9,87,9955
202311,桃園市,33.1,86,10399
202312,桃園市,33.5,88,10023
202401,桃園市,34,90,9434
202402,桃園市,34.5,83,9147
202403,桃園市,35.1,80,9426
202404,桃園市,35.5,80,9142
202405,桃園市,35.4,79,9084
202406,桃園市,36.1,70,10272
202407,桃園市,36.5,75,8186
202408,桃園市,37,73,8791
202409,桃園市,37.9,82,9695
202410,桃園市,37.9,68,13608
202411,桃園市,38.1,63,10690
202412,桃園市,38.2,71,10363
202501,桃園市,38.3,80,9548
202502,桃園市,38.1,88,11775
202503,桃園市,37.9,82,12450
202504,桃園市,38,76,12722
202505,桃園市,38,82,11725
202506,桃園市,38,82,11258
202507,桃園市,37.7,87,11735
202508,桃園市,37.5,90,10572
202509,桃園市,37.5,90,10393
202510,桃園市,37.4,95,10982
202511,桃園市,37.3,99,10534
202512,桃園市,37.3,99,10650
202601,桃園市,37.2,97,10092
202212,高雄市,25.7,17,1
202302,高雄市,27.6,21,1
202304,高雄市,31.1,32,3
202305,高雄市,33.2,82,5
202307,高雄市,37.9,8,1
202308,高雄市,29.8,91,10580
202309,高雄市,30.3,89,10738
202310,高雄市,30.5,93,8133
202311,高雄市,30.5,92,8694
202312,高雄市,30.8,94,8416
202401,高雄市,30.7,96,7932
202402,高雄市,31.8,86,7919
202403,高雄市,32.2,84,7931
202404,高雄市,32.7,85,7670
202405,高雄市,32.9,85,7883
202406,高雄市,33.4,83,7654
202407,高雄市,34.2,76,7915
202408,高雄市,34.6,85,6968
202409,高雄市,35.1,89,8415
202410,高雄市,35.3,73,10594
202411,高雄市,34.8,71,8877
202412,高雄市,34.7,78,8817
202501,高雄市,35,84,8017
202502,高雄市,34.9,92,9401
202503,高雄市,34.9,88,10522
202504,高雄市,34.7,82,10528
202505,高雄市,34.7,87,9657
202506,高雄市,34.5,88,9501
202507,高雄市,34.3,93,9953
202508,高雄市,34.3,96,9290
202509,高雄市,34,97,9277
202510,高雄市,33.8,105,9770
202511,高雄市,33.7,107,9047
202512,高雄市,33.4,111,9050
202601,高雄市,33.3,113,8307
202212,新北市,46.5,80,17579
202301,新北市,46.5,74,18007
202302,新北市,47.3,97,10410
202303,新北市,47.2,95,13600
202304,新北市,47.3,94,12954
202305,新北市,47.4,93,12705
202306,新北市,47.7,94,12483
202307,新北市,47.9,94,9186
202308,新北市,47.3,88,14360
202309,新北市,47.5,84,14603
202310,新北市,48.1,90,11893
202311,新北市,48.5,90,12645
202312,新北市,48.5,92,12055
202401,新北市,48.7,94,11509
202402,新北市,49.7,87,10752
202403,新北市,50.3,84,11324
202404,新北市,50.6,83,11111
202405,新北市,51.3,81,11537
202406,新北市,52.1,71,12834
202407,新北市,53,74,10938
202408,新北市,53.4,75,11624
202409,新北市,53.7,82,12313
202410,新北市,54.7,70,15719
202411,新北市,54.7,71,13474
202412,新北市,54.6,77,13371
202501,新北市,54.8,83,13216
202502,新北市,54.8,91,14919
202503,新北市,54.9,89,15235
202504,新北市,54.7,80,15631
202505,新北市,54.5,85,14240
202506,新北市,54.5,85,13868
202507,新北市,54.5,88,14564
202508,新北市,54.4,92,13276
202509,新北市,54.1,92,13077
202510,新北市,54.1,98,13775
202511,新北市,54.1,101,12758
202512,新北市,54.3,101,13110
202601,新北市,54.2,99,12259
202308,新竹縣,43.1,90,3481
202309,新竹縣,43.8,85,3549
202310,新竹縣,43.6,90,2760
202311,新竹縣,43.6,90,2930
202312,新竹縣,43.8,93,2801
202401,新竹縣,44.1,96,2562
202402,新竹縣,45.1,86,2643
202403,新竹縣,45.6,86,2704
202404,新竹縣,46.2,83,2575
202405,新竹縣,46.7,83,2535
202406,新竹縣,47.2,77,2644
202407,新竹縣,47.7,81,2155
202408,新竹縣,48.8,81,2263
202409,新竹縣,50,90,2570
202410,新竹縣,50.1,75,3187
202411,新竹縣,50.7,65,2688
202412,新竹縣,51.1,71,2695
202501,新竹縣,51,78,2570
202502,新竹縣,50.9,85,3239
202503,新竹縣,50.8,82,3559
202504,新竹縣,50.8,76,3657
202505,新竹縣,50.1,81,3466
202506,新竹縣,49.4,86,3366
202507,新竹縣,48.9,90,3529
202508,新竹縣,48.8,92,3253
202509,新竹縣,48.4,92,3189
202510,新竹縣,48.2,97,3347
202511,新竹縣,48.3,102,3205
202512,新竹縣,48.1,103,3301
202601,新竹縣,47.8,106,3158
