年月,縣市,行政區,當月銷售天期,前月銷售天期,增加率(%)
202601,台中市,大里區,107,102,4.54
202601,台中市,大雅區,109,99,10.07
202601,台中市,中區,103,101,1.47
202601,台中市,太平區,98,97,0.51
202601,台中市,北屯區,100,105,-4.84
202601,台中市,北區,94,97,-2.88
202601,台中市,西屯區,96,98,-2.48
202601,台中市,西區,101,109,-7.27
202601,台中市,東區,104,97,7.55
202601,台中市,南屯區,97,97,-0.13
202601,台中市,南區,96,99,-3.03
202601,台中市,烏日區,97,94,3.16
202601,台中市,神岡區,74,88,-16.63
202601,台中市,潭子區,99,95,3.9
202601,台中市,龍井區,96,104,-7.07
202601,台中市,豐原區,105,110,-5.09
202601,台北市,士林區,106,105,0.54
202601,台北市,大同區,91,92,-0.85
202601,台北市,大安區,103,107,-3.37
202601,台北市,中山區,97,104,-6.21
202601,台北市,中正區,103,93,11.03
202601,台北市,內湖區,101,107,-5.09
202601,台北市,文山區,101,96,5.13
202601,台北市,北投區,98,92,5.96
202601,台北市,松山區,95,99,-3.86
202601,台北市,信義區,99,97,2.63
202601,台北市,南港區,106,100,5.79
202601,台北市,萬華區,97,92,4.86
202601,台南市,中西區,100,102,-2.56
202601,台南市,仁德區,98,113,-13.94
202601,台南市,北區,109,107,2.01
202601,台南市,永康區,102,105,-3.03
202601,台南市,安平區,102,105,-2.32
202601,台南市,安南區,105,112,-6.53
202601,台南市,佳里區,89,99,-9.69
202601,台南市,東區,107,107,-0.5
202601,台南市,南區,109,96,13.27
202601,台南市,善化區,99,106,-7.17
202601,台南市,新化區,106,109,-1.95
202601,台南市,新市區,107,113,-5.86
202601,台南市,新營區,113,123,-7.95
202601,台南市,歸仁區,84,91,-7.3
202601,桃園市,八德區,100,100,-0.4
202601,桃園市,大園區,91,97,-5.56
202601,桃園市,中壢區,96,101,-4.19
202601,桃園市,平鎮區,101,97,3.74
202601,桃園市,桃園區,95,98,-2.53
202601,桃園市,楊梅區,97,95,1.26
202601,桃園市,龜山區,99,100,-1.41
202601,桃園市,蘆竹區,105,99,6.18
202601,高雄市,三民區,112,108,3.27
202601,高雄市,小港區,102,100,2.25
202601,高雄市,仁武區,116,117,-1.55
202601,高雄市,左營區,111,109,2.52
202601,高雄市,岡山區,110,111,-1.07
202601,高雄市,前金區,118,115,3.23
202601,高雄市,前鎮區,112,112,0.13
202601,高雄市,苓雅區,112,103,8.42
202601,高雄市,新興區,114,115,-1.1
202601,高雄市,楠梓區,116,115,1.02
202601,高雄市,鼓山區,119,113,5.35
202601,高雄市,鳳山區,114,107,6.79
202601,高雄市,橋頭區,117,123,-4.97
202601,高雄市,鹽埕區,105,115,-8.23
202601,新北市,八里區,96,111,-12.84
202601,新北市,三重區,88,89,-1.46
202601,新北市,三峽區,99,101,-2.08
202601,新北市,土城區,97,100,-2.8
202601,新北市,中和區,95,97,-2.16
202601,新北市,五股區,119,115,3.57
202601,新北市,永和區,98,98,0.09
202601,新北市,汐止區,99,98,1.17
202601,新北市,林口區,103,104,-1.26
202601,新北市,板橋區,100,102,-1.78
202601,新北市,泰山區,102,109,-6.89
202601,新北市,淡水區,100,104,-3.88
202601,新北市,深坑區,91,89,1.86
202601,新北市,新店區,103,107,-3.6
202601,新北市,新莊區,94,98,-4.22
202601,新北市,樹林區,109,103,6.12
202601,新北市,蘆洲區,109,109,-0.18
202601,新北市,鶯歌區,104,105,-0.93
202601,新竹縣,竹北市,107,101,5.9
202601,新竹縣,竹東鎮,105,109,-3.69
202601,新竹縣,芎林鄉,93,82,14.04
202601,新竹縣,峨眉鄉,266,133,100.75
202601,新竹縣,湖口鄉,99,104,-4.49
202601,新竹縣,新埔鎮,122,110,10.71
202601,新竹縣,新豐鄉,125,113,10.96
202601,新竹縣,橫山鄉,118,85,39.25
202601,新竹縣,關西鎮,94,121,-22.04
202601,新竹縣,寶山鄉,84,102,-17.39
