縣市,鄉鎮市區,前季銷售天期,當季銷售天期,增加率(%)
臺中市,大里區,90,99,9.97
臺中市,大雅區,92,95,3.51
臺中市,中區,97,104,7.48
臺中市,太平區,89,95,6.71
臺中市,北屯區,89,101,13.53
臺中市,北區,90,97,6.73
臺中市,西屯區,94,98,3.81
臺中市,西區,95,109,14.11
臺中市,東區,88,93,5.37
臺中市,南屯區,93,98,5.41
臺中市,南區,89,97,9.2
臺中市,烏日區,90,95,5.94
臺中市,神岡區,86,98,14.39
臺中市,潭子區,83,93,11.49
臺中市,龍井區,93,103,9.99
臺中市,豐原區,97,109,12.42
臺北市,士林區,96,103,7.31
臺北市,大同區,95,91,-4.59
臺北市,大安區,92,102,11.44
臺北市,中山區,93,101,8.34
臺北市,中正區,85,91,6.85
臺北市,內湖區,86,102,17.52
臺北市,文山區,87,96,10.45
臺北市,北投區,97,97,-0.67
臺北市,松山區,93,98,5.62
臺北市,信義區,95,94,-1.84
臺北市,南港區,91,95,4.66
臺北市,萬華區,88,93,5.04
臺南市,中西區,97,102,4.57
臺南市,仁德區,106,110,3.92
臺南市,北區,90,103,14.99
臺南市,永康區,95,104,8.76
臺南市,安平區,98,102,4.32
臺南市,安南區,96,105,9.85
臺南市,佳里區,95,95,0.24
臺南市,東區,98,105,7.04
臺南市,南區,82,90,9.74
臺南市,善化區,106,104,-1.71
臺南市,新化區,96,130,35.18
臺南市,新市區,94,102,8.92
臺南市,新營區,98,121,23.28
臺南市,歸仁區,85,87,1.95
桃園市,八德區,85,96,13.56
桃園市,大園區,86,94,9.09
桃園市,中壢區,88,98,11.53
桃園市,平鎮區,91,97,6.53
桃園市,桃園區,88,98,10.81
桃園市,楊梅區,95,95,0.13
桃園市,龜山區,90,99,10.63
桃園市,蘆竹區,94,98,4.12
高雄市,三民區,94,105,12.01
高雄市,小港區,92,98,6.8
高雄市,仁武區,95,120,25.97
高雄市,左營區,94,105,11.49
高雄市,岡山區,99,113,13.82
高雄市,前金區,97,111,14.1
高雄市,前鎮區,92,107,15.91
高雄市,苓雅區,99,101,2.05
高雄市,新興區,96,114,18.64
高雄市,楠梓區,99,111,12.26
高雄市,鼓山區,93,107,14.33
高雄市,鳳山區,93,104,11.63
高雄市,橋頭區,98,118,20.38
高雄市,鹽埕區,95,105,10.45
新北市,八里區,97,113,16.92
新北市,三重區,94,93,-1.1
新北市,三峽區,92,106,14.16
新北市,土城區,87,98,12.57
新北市,中和區,87,94,8.54
新北市,五股區,86,103,20.53
新北市,永和區,91,100,8.97
新北市,汐止區,86,96,11.7
新北市,林口區,96,105,9.16
新北市,板橋區,91,101,10.72
新北市,泰山區,82,104,26.63
新北市,淡水區,94,103,9.22
新北市,深坑區,83,92,9.94
新北市,新店區,94,105,12.23
新北市,新莊區,87,94,8.46
新北市,樹林區,92,100,8.71
新北市,蘆洲區,87,101,16.14
新北市,鶯歌區,88,101,14.21
