縣市,交易季,交易量(棟),成交行情(萬/坪),市場開價(萬/坪),銷售天期(天),買賣議價率(%)
桃園市,2024Q1,11063,33.9,34.51,97,11.7
桃園市,2024Q2,12627,36.01,35.66,85,10.8
桃園市,2024Q3,13577,34.99,37.15,76,11.2
桃園市,2024Q4,11470,30.72,38.06,90,13.1
桃園市,2025Q1,9265,33.53,38.1,114,13.2
桃園市,2025Q2,10377,34.3,38.02,117,14.1
桃園市,2025Q3,10700,34,37.55,128,14.4
桃園市,2025Q4,9986,32.72,37.35,142,14.4
高雄市,2024Q1,10435,30.67,31.58,100,11.5
高雄市,2024Q2,13444,32.59,33.01,87,10.5
高雄市,2024Q3,11834,33.56,34.65,88,11.1
高雄市,2024Q4,9409,30.53,34.97,90,13.7
高雄市,2025Q1,8000,30.5,34.9,113,13.9
高雄市,2025Q2,7705,29.99,34.63,117,15.3
高雄市,2025Q3,7669,30.07,34.21,134,15.3
高雄市,2025Q4,7822,29.33,33.64,145,14.7
新北市,2024Q1,15092,48.14,49.54,95,10.7
新北市,2024Q2,17998,50.53,51.37,84,10.3
新北市,2024Q3,17693,51.47,53.36,76,10.5
新北市,2024Q4,13216,51.99,54.68,85,12.2
新北市,2025Q1,10183,51.98,54.85,106,12.5
新北市,2025Q2,12830,51.26,54.56,111,13
新北市,2025Q3,11912,51.44,54.3,119,13
新北市,2025Q4,12750,49.8,54.17,133,13.5
臺中市,2024Q1,12130,34.82,38.87,101,10.4
臺中市,2024Q2,13718,36.75,40.58,94,9.7
臺中市,2024Q3,15998,36.83,41.96,90,10.2
臺中市,2024Q4,12890,34.32,42.36,98,12.5
臺中市,2025Q1,10543,34.68,41.68,117,12.6
臺中市,2025Q2,9718,34.59,41.1,126,13.9
臺中市,2025Q3,11001,34.32,40.46,137,15
臺中市,2025Q4,11228,33.24,40.14,145,15
臺北市,2024Q1,7307,86.37,93.79,100,10.9
臺北市,2024Q2,8149,90.89,96.82,89,10.1
臺北市,2024Q3,7772,89.78,99.68,79,10.7
臺北市,2024Q4,6209,88.47,100.69,89,12.4
臺北市,2025Q1,5856,89.85,100.91,107,12.1
臺北市,2025Q2,5892,90.2,101.68,104,12.4
臺北市,2025Q3,5552,91.12,101.38,109,12.9
臺北市,2025Q4,5834,92.42,100.02,124,12.5
臺南市,2024Q1,6865,28.61,30.42,108,13.2
臺南市,2024Q2,7670,30.16,31.41,102,12.3
臺南市,2024Q3,7025,30.1,32.25,98,12.7
臺南市,2024Q4,6097,28.57,32.51,104,14
臺南市,2025Q1,4188,28.43,32.63,117,14.4
臺南市,2025Q2,5645,27.94,32.17,120,15
臺南市,2025Q3,4760,27.36,31.94,130,15.7
臺南市,2025Q4,5180,27.46,31.74,134,16.5
