縣市,行政區,建物類別名稱,交易季,交易量(棟),成交行情(萬/坪),市場開價(萬/坪),銷售天期(天),買賣議價率(%)
臺中市,大里區,透天厝,2025Q2,70,34.36,46.28,153,14.8%
新北市,八里區,住宅大樓,2025Q1,77,30.72,34.17,102,12.1%
臺北市,中正區,公寓,2025Q4,5,82.79,90.53,178,21.7%
臺北市,松山區,公寓,2025Q3,41,76.64,93.85,102,11.5%
新北市,中和區,住宅大樓,2024Q1,602,56.86,59.82,85,9.9%
新北市,新莊區,透天厝,2025Q2,17,66.17,82.03,61,17.3%
臺中市,中區,住宅大樓,2025Q2,39,24.56,32.42,123,19.2%
新北市,林口區,透天厝,2024Q4,13,42.56,52.44,118,12.2%
臺中市,烏日區,住宅大樓,2024Q4,69,37.83,41.4,94,12.3%
臺中市,太平區,透天厝,2025Q4,48,35.9,43.43,135,15.2%
臺南市,南區,住宅大樓,2024Q1,88,25.59,26.55,93,10.6%
臺中市,西屯區,透天厝,2025Q4,10,55.15,65.61,214,21.9%
臺南市,新化區,透天厝,2024Q1,24,27.84,35.16,112,11%
臺北市,士林區,透天厝,2025Q2,10,140.34,162.06,68,15.7%
高雄市,楠梓區,住宅大樓,2024Q2,1483,31.38,29.77,67,6.4%
新北市,新莊區,透天厝,2024Q4,16,65.85,88.26,155,17%
臺中市,西區,住宅大樓,2024Q1,272,33.52,37.36,102,10.4%
臺南市,北區,住宅大樓,2025Q3,81,27.17,34.7,111,14.9%
臺北市,大安區,住宅大樓,2025Q3,241,116.66,132.64,107,11%
高雄市,楠梓區,公寓,2024Q2,57,16.81,22,123,13.8%
臺南市,安南區,公寓,2024Q2,12,14.51,22.35,100,19.9%
新北市,八里區,住宅大樓,2024Q4,59,30.1,34.97,83,11.4%
臺南市,新化區,住宅大樓,2025Q1,14,24.84,27.34,117,16%
臺北市,內湖區,住宅大樓,2024Q2,325,79.75,81.47,85,8.5%
臺南市,東區,透天厝,2024Q4,68,38.16,53.09,123,14.4%
臺南市,仁德區,透天厝,2024Q3,71,29.66,39.02,125,13.7%
桃園市,平鎮區,公寓,2025Q3,26,17.65,24.35,141,20.5%
臺北市,大同區,透天厝,2024Q4,5,103.18,171.38,NULL,NULL
臺中市,神岡區,住宅大樓,2025Q1,11,26.87,29.14,113,13.5%
臺中市,南區,公寓,2025Q2,15,20.72,29.81,130,16.6%
臺南市,新化區,住宅大樓,2024Q4,13,19.97,26.44,117,10.5%
臺中市,東區,住宅大樓,2024Q1,199,36.11,36.27,94,10.3%
臺中市,西區,透天厝,2024Q2,59,56.35,73.57,139,14.7%
臺北市,信義區,住宅大樓,2024Q2,245,106.83,113.89,107,8.9%
新北市,林口區,透天厝,2025Q2,17,40.36,54.37,176,15.1%
新北市,板橋區,透天厝,2025Q3,10,66.35,111.29,88,18.1%
臺中市,龍井區,住宅大樓,2024Q2,117,32.34,34.19,96,9.5%
新北市,林口區,公寓,2025Q3,8,29.03,42.56,125,13%
高雄市,三民區,公寓,2025Q1,55,17.89,23.85,126,19.4%
桃園市,八德區,公寓,2024Q4,20,19.04,27.65,109,19%
臺北市,士林區,透天厝,2024Q4,8,135.45,145.7,62,17.4%
新北市,樹林區,住宅大樓,2025Q4,46,41.41,44.94,149,12.3%
新北市,汐止區,公寓,2025Q4,22,29.63,40.07,136,17%
臺中市,大里區,透天厝,2024Q3,93,37.28,49.45,129,14.1%
臺北市,南港區,公寓,2025Q3,32,61.45,73.88,81,15.5%
高雄市,左營區,住宅大樓,2025Q1,264,32.71,36.91,102,12%
臺中市,中區,透天厝,2025Q2,8,34.55,65.24,211,25.8%
高雄市,前鎮區,公寓,2024Q3,41,16.43,21.26,96,15.1%
高雄市,左營區,公寓,2024Q4,6,15.3,25.27,106,28%
新北市,鶯歌區,住宅大樓,2024Q2,151,36.25,36.65,92,9.3%
